Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2023-01-17;76184.0;3.6;4.9
2023-01-18;78932.0;2.3;4.9
2023-01-19;78696.0;1.9;5.0
2023-01-24;82626.0;2.7;5.2
2023-01-27;78457.0;3.4;5.3
2023-02-10;78488.0;3.9;6.1
2023-02-14;74667.0;6.4;6.3
2023-02-15;71858.0;7.3;6.4
2023-02-24;64777.0;8.1;6.9
2023-02-27;77410.0;2.7;7.1
2023-02-28;78356.0;2.5;7.2
2023-03-02;77339.0;4.1;7.3
2023-03-07;69632.0;5.8;7.7
2023-03-08;66267.0;9.6;7.8
2023-03-10;64889.0;9.5;7.9
2023-03-16;61922.0;10.6;8.4
2023-03-17;58091.0;12.0;8.5
2023-03-20;59203.0;9.7;8.8
2023-03-23;55136.0;13.6;9.1
2023-03-28;63518.0;8.3;9.7
2023-04-03;62029.0;8.4;10.3
2023-04-07;59834.0;9.9;10.8
2023-04-10;48052.0;12.3;11.2
2023-04-11;55651.0;11.7;11.3
2023-04-17;57300.0;10.6;12.1
2023-04-18;56811.0;11.3;12.3
2023-05-03;51007.0;15.7;14.2
2023-05-07;43888.0;15.7;14.7
2023-05-10;52705.0;13.5;15.1
2023-05-11;51834.0;13.1;15.2
2023-05-16;52496.0;12.6;15.8
2023-05-19;47402.0;14.1;16.1
2023-05-22;49706.0;17.3;16.4
2023-05-30;49482.0;18.6;17.3
2023-06-01;50291.0;19.6;17.5
2023-06-04;42442.0;19.6;17.8
2023-06-06;49731.0;19.8;18.0
2023-06-11;43632.0;21.4;18.5
2023-06-15;51441.0;21.6;18.9
2023-06-16;51614.0;22.2;19.0
2023-07-01;45812.0;19.4;20.2
2023-07-02;43484.0;19.8;20.3
2023-07-12;53510.0;21.3;20.9
2023-07-13;52454.0;20.5;20.9
2023-07-23;44887.0;21.6;21.2
2023-08-11;48324.0;22.5;20.7
2023-08-16;47933.0;22.3;20.4
2023-08-17;48588.0;23.9;20.3
2023-08-21;52575.0;25.3;19.9
2023-08-25;52114.0;21.8;19.5
2023-08-30;50224.0;17.0;19.0
2023-09-02;46461.0;21.2;18.6
2023-09-03;44534.0;23.2;18.5
2023-09-04;52318.0;24.6;18.4
2023-09-18;51034.0;19.7;16.6
2023-09-22;50396.0;14.8;16.1
2023-09-25;49413.0;16.6;15.7
2023-09-28;50000.0;19.3;15.3
2023-10-04;51300.0;15.2;14.6
2023-10-06;50350.0;15.3;14.3
2023-10-09;50021.0;18.6;13.9
2023-10-16;53363.0;11.2;13.0
2023-11-04;55345.0;10.5;10.3
2023-11-14;59827.0;13.7;8.8
2023-11-19;53259.0;12.6;8.1
2023-11-25;63745.0;5.2;7.3
2023-12-11;64357.0;11.8;5.5
2023-12-13;67526.0;9.2;5.4
2023-12-16;63642.0;5.6;5.2
2023-12-18;75686.0;3.4;5.0
2023-12-21;67178.0;10.0;4.9
2023-12-26;60320.0;8.4;4.7
2023-12-27;62144.0;7.9;4.7
2023-12-30;56772.0;9.1;4.6
2022-01-10;79072.0;5.6;4.7
2022-01-15;78602.0;1.3;4.8
2022-01-18;82944.0;3.8;4.9
2022-01-19;82756.0;4.3;5.0
2022-01-28;82731.0;4.9;5.4
2022-01-31;79220.0;6.5;5.5
2022-02-11;75296.0;5.6;6.1
2022-02-25;73175.0;6.3;7.0
2022-02-26;66117.0;5.6;7.0
2022-03-01;71963.0;7.9;7.2
2022-03-09;72265.0;8.7;7.8
